TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0.422648,0.435858,0.341391,0.52862,0.0362782,0.216864,0.103161,0.206344,1.18035,1.13623,1.73024,0.696738
0.046439909,0.458933,0.439679,0.443606,0.629076,0.0268093,0.321254,0.153556,0.221742,1.12995,1.04856,1.64278,0.676323
0.092879819,0.532792,0.344061,0.572633,0.871411,0.0280801,0.386,0.191728,0.238122,1.01288,0.847661,1.55917,0.652401
0.139319728,0.621911,0.674541,0.72059,0.834403,0.138217,0.678725,0.298863,0.925071,1.01996,0.47758,0.566758,0.888052
0.185759637,0.664319,0.725618,1.27516,0.478295,0.199597,0.98474,0.191855,1.53469,0.333369,0.293979,0.384254,1.41008
0.232199546,0.145539,0.605893,1.56686,0.0464358,0.0791103,0.932905,0.116268,2.07128,0.0197893,0.0800531,0.274668,1.34046
0.278639456,0.000169343,0.303189,1.4342,0.121338,0.0637363,0.739651,0.00174876,2.21664,0,0.138557,0.584641,1.12384
0.325079365,0.361678,0.131512,0.959732,0.437946,0.23176,0.399719,0.00487824,1.68708,0.269114,0.268281,0.93668,1.20289
0.371519274,0.648534,0.337615,0.262465,0.601845,0.347525,0.336151,0.00366204,0.875494,0.64573,0.682562,1.18215,1.08654
0.417959184,0.559564,0.553566,0.335843,0.681601,0.356683,0.245705,0,0.379122,0.868683,0.784852,1.4387,0.796044
0.464399093,0.518028,0.597161,0.341591,0.664785,0.310851,0.329338,0,0.250979,1.03255,0.873233,1.56393,0.532902
0.510839002,0.487277,0.428018,0.288582,0.626489,0.308129,0.495713,0,0.219553,1.12533,0.918116,1.55928,0.314913
0.557278912,0.560868,0.0899922,0.656935,0.621703,0.37387,0.746852,0.00488394,0.574726,1.11486,0.741249,0.678726,0.791212
0.603718821,0.536198,0.638314,1.35978,0.559727,0.189613,0.841965,0.0356732,2.04485,0.34537,0.328423,0.342978,1.57888
0.650158730,0.0907186,0.69039,1.48831,0.0598539,0.135375,0.774038,0.0242629,2.5299,0.0205781,0.0789274,0.263805,1.44555
0.696598639,0.000273208,0.459613,1.44139,0.102036,0.0619833,0.796266,0.0174658,2.63168,0,0.122524,0.451024,1.17191
0.743038549,0.427524,0.0618614,0.993907,0.492496,0.123647,0.315334,0,1.74661,0.356324,0.358216,0.958275,1.63286
0.789478458,0.735988,0.190415,0.386972,0.503417,0.354661,0.245612,0,0.877324,0.630272,0.639376,1.02244,1.70312
