Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4zO9qpJCCF34kZMtL5DF6O,"Sky Falls Down - Armin van Buuren Remix","Trance Top 1000 - Selection 007","Above & Beyond;OceanLab;Armin van Buuren",2013-07-26,227546,14,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance,progressive trance,progressive house,electronica,edm","ARVA",0.538,0.94,0,-9.245,1,0.0321,0.000154,0.473,0.084,0.294,137.994,4
spotify:track:2l0YrlVmt8SJ9JyiPszcCa,"Ligaya - Ferry Corsten Remix","Trance Top 1000 - Selection 007","Gouryella;Ferry Corsten",2013-07-26,330217,4,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance,progressive trance","ARVA",0.495,0.958,0,-6.554,0,0.0358,0.00516,0.885,0.13,0.399,138.004,4
spotify:track:3ZIMrjv4esK28Qnqj5STFZ,"Liebe - ATB Remix","Trance Top 1000 - Selection 007","Ayla;ATB",2013-07-26,246120,2,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance","ARVA",0.629,0.922,9,-6.371,0,0.0441,0.0886,0.756,0.375,0.304,130.997,4
spotify:track:09lYCAhLLnePqXbbqRPCIP,"From Russia With Love - Solar Stone 1999 Remix","Trance Top 1000 - Selection 007","Matt Darey;DSP;Solarstone",2013-07-26,234520,17,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance,progressive trance","ARVA",0.437,0.866,6,-9.224,0,0.0343,0.00221,0.893,0.119,0.238,135.005,4
spotify:track:7dv4ukn8kA3LwvYJd95dGY,"Madagascar - Richard Durand Remix","Trance Top 1000 - Selection 007","Art Of Trance;Richard Durand",2013-07-26,182173,13,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance,progressive trance,psytrance","ARVA",0.706,0.97,1,-5.402,0,0.0487,0.000269,0.828,0.406,0.308,134.987,4
spotify:track:40Ro4iAYU9JICZrRgzn4Yi,"Cry","Trance Top 1000 - Selection 007","System F",2013-07-26,257773,5,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance","ARVA",0.551,0.919,10,-5.682,0,0.0318,0.000122,0.175,0.0507,0.424,135.994,4
spotify:track:3vqYXT8iExB10ZskHEpG08,"Wasted","Trance Top 1000 - Selection 007","Andy Duguid;Leah",2013-07-26,228147,10,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance,progressive trance","ARVA",0.618,0.891,8,-6.273,1,0.0365,0.000775,0.733,0.352,0.139,126.996,4
spotify:track:6nELfpA35xHD5IObjTdY5W,"The Emergency","Trance Top 1000 - Selection 007","BT;Andrew Bayer",2013-07-26,224302,2,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance,progressive trance,progressive house","ARVA",0.468,0.778,10,-6.996,1,0.402,0.00873,0,0.324,0.35,130.068,3
spotify:track:70m8NN8XH0WpfD9r5K5nx7,"After All - Svenson & Gielen Remix","Trance Top 1000 - Selection 007","Delerium;Jaël;Svenson & Gielen",2013-07-26,196388,13,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance","ARVA",0.504,0.958,9,-5.887,0,0.0664,0.000346,0.153,0.338,0.242,134.993,4
spotify:track:1W9Ie4XE4LdKiaR5YvHS6W,"Let It Flow - Gareth Emery Remix","Trance Top 1000 - Selection 007","Bartlett Bros.;Marcia Juell;Gareth Emery",2013-07-26,214222,5,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance,progressive trance,progressive house","ARVA",0.759,0.748,7,-7.152,0,0.0381,0.0208,0.944,0.569,0.717,135.012,4
spotify:track:4jtyTXsxb1LBq9hPSjpLIx,"Point Zero","Trance Top 1000 - Selection 007","Matt Darey;Li Kwan",2013-07-26,234822,8,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance,progressive trance","ARVA",0.499,0.699,6,-15.056,1,0.0481,0.037,0.713,0.141,0.0836,129.773,4
spotify:track:5EmLfZkAer3KDhQNCGcLs5,"People Just Don't Care","Trance Top 1000 - Selection 007","Airwave",2013-07-26,235937,1,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance,progressive trance","ARVA",0.524,0.791,11,-10.164,1,0.0379,0.128,0.898,0.624,0.11,130.01,4
