TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-178.881,-30.3924,-23.2849,-13.9333,-17.1387,-10.773,-10.504,-4.86125,-5.77067,-1.63527,-4.48347,-0.308242,0.643102,2.66166,2.23839,-1.08987,-0.557524,0.62343,-1.74994,-3.03019,-0.147508
0.023219955,-181.296,-29.9749,-14.952,-8.30163,-16.9468,-8.02531,-8.65619,-6.03317,-7.88786,-7.29108,-8.10017,-4.34417,-4.68324,-3.47392,-2.9258,-1.95436,-2.98312,-3.25879,-2.76116,-1.61628,-2.18886
0.046439909,-203.511,-41.4888,-21.6107,-13.3167,-18.1021,-6.38323,-6.56629,-2.34565,-4.88066,-3.05885,-1.89912,0.782319,-1.05121,-0.764052,0.911922,1.88629,0.244158,-1.17566,-0.810073,-0.307912,-1.68074
0.069659864,-201.895,-43.1994,-20.4772,-11.2153,-19.8087,-9.11158,-7.74834,-3.1191,-3.41241,-2.57765,-4.78248,-1.94157,-1.65123,-0.886563,-0.202648,0.810406,-0.998694,-1.01912,0.225089,1.86933,-0.969215
0.092879819,-207.777,-40.3272,-19.3346,-11.96,-18.9561,-7.15314,-6.79865,-1.69387,-3.93957,-5.32034,-4.71716,-0.836172,0.062068,-0.133923,0.208599,2.60822,-0.316692,-1.88804,-0.465084,-0.103198,-1.18476
0.116099773,-209.54,-52.8093,-26.1504,-13.5089,-20.0734,-7.74572,-11.0352,-7.37467,-7.2992,-6.12174,-7.72626,-4.40763,-4.23218,-3.04021,-0.411205,0.535643,-1.99185,-1.81589,0.678498,1.51884,-1.9499
0.139319728,-211.006,-44.3997,-24.2927,-14.3913,-20.9051,-7.59568,-8.71305,-3.53909,-6.13538,-7.05967,-5.5722,-2.68818,-4.30879,-4.10407,-2.27692,-0.746926,-3.14184,-2.36275,-0.0782602,-0.307748,-1.37654
0.162539683,-226.946,-41.9507,-25.3872,-17.2244,-24.6032,-10.649,-10.4503,-4.95165,-6.87826,-5.20343,-5.52873,-2.5033,-0.746454,0.0593365,-0.610492,-0.774183,-2.06097,-0.543435,1.60983,1.05091,-0.566909
0.185759637,-239.684,-33.8655,-19.1082,-6.34409,-20.2005,-7.90622,-5.34682,1.24869,-2.58358,-3.0923,-2.43274,0.854502,-1.4405,-3.23577,0.0164857,-0.803528,-0.729961,-1.88489,4.31828,4.41737,0.198247
0.208979592,-191.695,-48.2975,-25.1063,-15.2027,-17.657,-7.77229,-6.82444,-0.763109,-2.86337,-1.45447,-3.81828,-1.15077,-1.8557,0.813584,1.89751,2.03856,-1.1043,-1.41443,-2.75657,-1.92956,-0.858521
0.232199546,-203.561,-45.7687,-25.9815,-13.431,-17.2648,-6.90175,-7.83061,-3.77241,-5.95464,-1.78387,-1.65686,-2.15936,-3.56986,-2.27198,-2.438,-1.16803,-1.18986,-0.897729,-1.02668,-0.947984,-1.97809
0.255419501,-218.033,-41.0987,-23.78,-10.4577,-17.9552,-5.65314,-7.39831,-3.2021,-4.58643,-1.99796,-4.20454,-3.03419,-1.8705,-1.75087,-0.0618597,0.424253,-1.03491,0.472314,1.18826,-0.051595,-1.42821
0.278639456,-232.115,-39.0745,-26.0045,-11.0917,-17.5145,-7.93227,-6.61897,-1.74267,-6.18914,-5.89728,-5.59766,-1.71826,-1.30459,-0.716145,-0.780683,-0.30722,0.533183,1.11349,3.81216,1.47357,-1.38271
0.301859410,-233.684,-38.8646,-24.0249,-11.0088,-19.5275,-7.46915,-7.87166,-3.21129,-6.45931,-3.64963,-2.83805,2.19327,0.356602,0.616916,-0.854515,-0.625459,-1.44509,1.10149,2.9278,0.675316,-1.87385
0.325079365,-232.132,-36.9293,-21.6327,-10.8432,-25.8212,-16.3491,-13.8691,-3.25747,-6.36463,-2.12907,-1.22891,0.701218,0.1241,-4.04443,-3.39774,-1.64228,-1.18198,1.84291,2.16766,1.15775,0.31373
0.348299320,-255.188,-42.6696,-22.2269,-11.0118,-18.0797,-9.97886,-9.76919,-1.5227,-6.01876,-4.33404,-5.15621,-1.7601,-0.687487,-3.07457,0.10742,0.997139,-0.033315,0.279501,1.18771,1.24035,0.00275022
0.371519274,-265.897,-39.8197,-21.6031,-8.81433,-18.9844,-8.98125,-8.38931,-2.54856,-7.49604,-7.6114,-5.39882,-2.29694,-2.24654,-1.28296,1.63735,1.66005,-1.42342,-0.666382,1.71084,0.472776,-2.38474
