TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0,0,0,0,0,0,0,0,0,0,0,0
0.185759637,0,0,0,0,0,0,0,0,0,0,0,0
0.232199546,0,0,0,0,0,0,0,0,0,0,0,0
0.278639456,0,0,0,0,0,0,0,0,0,0,0,0
0.325079365,0,0,0,0,0,0,0,0,0,0,0,0
0.371519274,0,0,0,0,0,0,0,0,0,0,0,0
0.417959184,0,0,0,0,0,0,0,0,0,0,0,0
0.464399093,0,0,0,0,0,0,0,0,0,0,0,0
0.510839002,0.783846,0.720309,1.37263,1.32257,0.073299,0.0231997,0.0726442,0.084613,0.105376,0.127703,0.384976,1.09229
0.557278912,0.786365,0.498287,1.35613,1.25155,0.079913,0.0230564,0.0730498,0.110224,0.193005,0.136468,0.272629,1.08513
0.603718821,0.837299,0.50312,1.3535,1.22096,0.0809895,0.0190138,0.0650254,0.118386,0.198777,0.134782,0.26877,1.10077
0.650158730,0.894501,0.501901,1.34473,1.19035,0.0766304,0.0120401,0.0614612,0.124344,0.183021,0.12412,0.285875,1.14175
0.696598639,0.966679,0.524431,1.33424,1.17285,0.0727606,0.000425146,0.0556048,0.135003,0.162471,0.0995111,0.315983,1.16642
0.743038549,0.999858,0.498539,1.31355,1.16626,0.076136,0,0.0509919,0.19587,0.151374,0.0546597,0.340651,1.16385
0.789478458,1.00964,0.327907,1.27841,1.1468,0.178535,0,0.0514079,0.277148,0.137679,0,0.374852,1.10852
0.835918367,1.04399,0.0285376,1.04654,0.96804,0.225819,0.014288,0.216769,0.18197,1.02173,0.567311,0.456395,0.806108
0.882358277,0,0,0,0,0,0,0,0,0,0,0,0
0.928798186,0,0,0,0,0,0,0,0,0,0,0,0
0.975238095,0.955033,0.531473,1.41179,1.33576,0.0738297,0.0283022,0.175581,0.0242103,0.0718067,0.370577,0.391506,1.19972
1.021678005,0.899845,0.381388,1.35824,1.23811,0.0757517,0.0320331,0.0964082,0.0691237,0.229792,0.240103,0.291215,1.21997
1.068117914,0.924938,0.311551,1.34207,1.20382,0.0705481,0.027027,0.105593,0.11446,0.304716,0.0407265,0.254452,1.20333
1.114557823,0.951426,0.360117,1.32677,1.21791,0.0678879,0.0141656,0.0916131,0.147805,0.255698,0.0362438,0.22912,1.14439
1.160997732,0.919073,0.419204,1.32685,1.22407,0.0694897,0.00721942,0.0735431,0.152423,0.253175,0.00471257,0.164961,1.10914
1.207437642,0.930318,0.405894,1.32701,1.20495,0.0716921,0.00287806,0.063334,0.165053,0.243203,0,0.119729,1.09587
1.253877551,0.754165,0.311944,1.28835,1.14737,0.077972,0.21843,0.041701,0.238803,0.214279,0.00473455,0.161755,1.13116
1.300317460,0.972029,0.178787,0.786196,1.12973,0.0344422,0.413787,0.16096,0.565492,1.11341,0.28714,1.42223,0.903477
1.346757370,0,0,0,0,0,0,0,0,0,0,0,0
1.393197279,0.648966,1.26321,1.66894,1.86688,0.216215,0.16924,0.0885559,0.0336549,0,0,0.174779,1.25045
1.439637188,0.69463,0.570676,1.03943,1.33999,0.25344,0.443192,0.353439,0.537155,0.321939,0.0320497,0.242467,1.41984
1.486077098,0.735033,0.393026,1.05158,1.28539,0.196452,0.470858,0.267311,0.535827,0.579525,0.0661664,0.212254,1.38056
1.532517007,0.751604,0.305236,1.0835,1.1866,0.345919,0.421741,0.270755,0.570365,0.905982,0.0398258,0.313117,1.16115
1.578956916,0.688127,0.319228,1.06625,1.10375,0.295446,0.404035,0.264731,0.663413,1.04789,0.0610909,0.291101,1.09908
1.625396825,0.473377,0.340646,1.01461,1.02677,0.134233,0.239353,0.2496,0.918708,1.26064,0.0755633,0.385727,1.07736
1.671836735,0.158914,0.607698,0.994051,1.05975,0.072714,0.100759,0.287821,1.21312,1.10823,0.117475,0.319091,0.791309
1.718276644,0.000330817,1.49799,0.172875,0.416646,0.648156,0.801499,0.587116,0.821852,0.854619,0.489442,0.855551,0.469659
1.764716553,0.000490743,1.30183,0.186968,0.394919,0.910117,0.977151,0.824238,0.395822,0.881815,0.0839822,1.06502,0.537377
1.811156463,0.159443,1.02545,0.00128441,0.373534,0.880917,1.07745,0.899755,0.316784,0.665073,0.135301,1.10427,0.599042
1.857596372,0.154839,1.14901,0.404668,0.574489,0.766422,1.00391,0.524766,0.299874,0.756096,0.387969,0.753039,0.954311
1.904036281,0.428501,0.843003,1.79742,0.918896,0.166019,0.207356,0,0.633977,0.151368,0.371573,0.190198,1.5489
1.950476190,0.569727,0.956754,1.80595,0.884082,0.129251,0.214248,0.0106959,0.770208,0.0379792,0.21625,0.184019,1.40395
1.996916100,0.498964,0.934629,1.75511,0.911095,0.126599,0.220803,0.0740848,1.07958,0.00655978,0.0740714,0.164475,1.2415
